#proc	SIZE	MSGS	TIME
2	50	50	34
2	100	50	34
2	1000	50	37
2	4000	50	64
2	8000	50	67
2	50000	50	192
2	75000	50	265
2	100000	50	327
2	150000	50	823
2	250000	50	1242
2	350000	50	1675
2	500000	50	2418
2	750000	50	3338
2	1000000	50	2760
2	2000000	50	6021
2	3000000	50	8418
2	4000000	50	11313
4	50	50	47
4	100	50	5014
4	1000	50	5069
4	4000	50	3009
4	8000	50	4460
4	50000	50	19948
4	75000	50	19947
4	100000	50	17248
4	150000	50	20002
4	250000	50	19950
4	350000	50	4030
4	500000	50	34684
4	750000	50	8214
4	1000000	50	44703
4	2000000	50	79672
4	3000000	50	22055
4	4000000	50	112327
8	50	50	5074
8	100	50	5271
8	1000	50	7852
8	4000	50	5157
8	8000	50	5089
8	50000	50	54210
8	75000	50	51922
8	100000	50	55315
8	150000	50	43486
8	250000	50	57348
8	350000	50	58275
8	500000	50	54396
8	750000	50	68511
8	1000000	50	87967
8	2000000	50	171672
8	3000000	50	146688
8	4000000	50	251787
12	50	50	10301
12	100	50	6848
12	1000	50	9777
12	4000	50	6245
12	8000	50	9937
12	50000	50	94778
12	75000	50	118506
12	100000	50	117909
12	150000	50	103420
12	250000	50	113236
12	350000	50	119395
12	500000	50	105136
12	750000	50	109652
12	1000000	50	88608
12	2000000	50	222030
12	3000000	50	212635
12	4000000	50	307614
16	50	50	16071
16	100	50	19972
16	1000	50	18896
16	4000	50	12155
16	8000	50	8513
16	50000	50	59574
16	75000	50	148405
16	100000	50	154648
16	150000	50	184291
16	250000	50	155668
16	350000	50	158499
16	500000	50	202055
16	750000	50	167814
16	1000000	50	181793
16	2000000	50	312408
16	3000000	50	284821
16	4000000	50	429848
