#proc	SIZE	MSGS	TIME
2	50	50	33
2	100	50	33
2	1000	50	37
2	4000	50	51
2	8000	50	64
2	50000	50	198
2	75000	50	254
2	100000	50	329
2	50	50	33
2	100	50	29
2	1000	50	30
2	4000	50	55
2	8000	50	64
2	50000	50	193
2	75000	50	253
2	100000	50	317
2	150000	50	807
2	250000	50	1218
2	350000	50	1703
2	500000	50	2307
2	750000	50	3512
2	1000000	50	4611
2	2000000	50	5358
2	3000000	50	7950
2	4000000	50	10885
4	50	50	45
4	100	50	38
4	1000	50	44
4	4000	50	59
4	8000	50	60
4	50000	50	366
4	75000	50	1018
4	100000	50	704
4	150000	50	1323
4	250000	50	2013
4	350000	50	3700
4	500000	50	4497
4	750000	50	6397
4	1000000	50	9776
4	2000000	50	16053
4	3000000	50	22833
4	4000000	50	29765
8	50	50	267
8	100	50	849
8	1000	50	5031
8	4000	50	5100
8	8000	50	74
8	50000	50	2947
8	75000	50	6673
8	100000	50	2033
8	150000	50	3851
8	250000	50	5052
8	350000	50	6458
8	500000	50	10932
8	750000	50	19839
8	1000000	50	22937
8	2000000	50	45384
8	3000000	50	65299
8	4000000	50	92057
12	50	50	11426
12	100	50	10148
12	1000	50	14351
12	4000	50	13343
12	8000	50	15774
12	50000	50	62361
12	75000	50	13418
12	100000	50	14409
12	150000	50	11130
12	250000	50	22375
12	350000	50	16819
12	500000	50	40600
12	750000	50	33757
12	1000000	50	53022
12	2000000	50	85675
12	3000000	50	118694
12	4000000	50	163575
16	50	50	15766
16	100	50	15543
16	1000	50	15442
16	4000	50	13274
16	8000	50	13349
16	50000	50	29328
16	75000	50	26637
16	100000	50	18027
16	150000	50	23740
16	250000	50	27754
16	350000	50	23635
16	500000	50	28524
16	750000	50	51700
16	1000000	50	64409
16	2000000	50	96907
16	3000000	50	141056
16	4000000	50	194282
