#proc	SIZE	MSGS	TIME
2	50	50	38
2	100	50	38
2	1000	50	66
2	4000	50	256
2	8000	50	278
2	50000	50	2080
2	75000	50	2967
2	100000	50	3744
2	150000	50	5624
2	250000	50	5493
2	350000	50	7660
2	500000	50	13438
2	750000	50	16928
2	1000000	50	22561
4	50	50	33
4	100	50	46
4	1000	50	94
4	4000	50	572
4	8000	50	676
4	50000	50	2727
4	75000	50	5261
4	100000	50	6863
4	150000	50	10375
4	250000	50	16336
4	350000	50	21012
4	500000	50	30451
4	750000	50	44609
4	1000000	50	58227
8	50	50	3471
8	100	50	136
8	1000	50	222
8	4000	50	959
8	8000	50	1358
8	50000	50	6076
8	75000	50	8982
8	100000	50	12120
8	150000	50	20617
8	250000	50	33140
8	350000	50	46030
8	500000	50	69028
8	750000	50	100444
8	1000000	50	132622
12	50	50	8740
12	100	50	11192
12	1000	50	10059
12	4000	50	37361
12	8000	50	37264
12	50000	50	18382
12	75000	50	21185
12	100000	50	36533
12	150000	50	44013
12	250000	50	105436
12	350000	50	113498
12	500000	50	124906
12	750000	50	179485
12	1000000	50	239516
16	50	50	13746
16	100	50	13494
16	1000	50	7212
16	4000	50	42446
16	8000	50	48628
16	50000	50	49738
16	75000	50	66878
16	100000	50	54035
16	150000	50	69678
16	250000	50	75938
16	350000	50	217823
16	500000	50	227275
16	750000	50	279925
16	1000000	50	325673
